x	y	c
 0	 0	0
 1	 0	0
 2	 0	0
 3	 0	2
 4	 0	7
 5	 0	4
 6	 0	1
 7	 0	1
 8	 0	2
 9	 0	2
 0	 1	2
 1	 1	0
 2	 1	1
 3	 1	3
 4	 1	6
 5	 1	5
 6	 1	0
 7	 1	4
 8	 1	1
 9	 1	0
 0	 2	0
 1	 2	2
 2	 2	2
 3	 2	4
 4	 2	6
 5	 2	4
 6	 2	2
 7	 2	2
 8	 2	2
 9	 2	1
 0	 3	1
 1	 3	3
 2	 3	0
 3	 3	4
 4	 3	0
 5	 3	4
 6	 3	0
 7	 3	0
 8	 3	3
 9	 3	2
 0	 4	0
 1	 4	1
 2	 4	1
 3	 4	4
 4	 4	9
 5	 4	7
 6	 4	1
 7	 4	2
 8	 4	0
 9	 4	0
 0	 5	2
 1	 5	1
 2	 5	2
 3	 5	1
 4	 5	5
 5	 5	0
 6	 5	0
 7	 5	1
 8	 5	2
 9	 5	1
 0	 6	0
 1	 6	2
 2	 6	1
 3	 6	1
 4	 6	5
 5	 6	2
 6	 6	1
 7	 6	1
 8	 6	1
 9	 6	1
 0	 7	0
 1	 7	0
 2	 7	1
 3	 7	1
 4	 7	4
 5	 7	6
 6	 7	5
 7	 7	3
 8	 7	1
 9	 7	1
 0	 8	3
 1	 8	1
 2	 8	2
 3	 8	5
 4	 8	5
 5	 8	4
 6	 8	7
 7	 8	3
 8	 8	2
 9	 8	1
 0	 9	1
 1	 9	0
 2	 9	1
 3	 9	4
 4	 9	11
 5	 9	8
 6	 9	5
 7	 9	1
 8	 9	2
 9	 9	1
