x	y	c
 0	 0	1
 1	 0	1
 2	 0	0
 3	 0	0
 4	 0	9
 5	 0	3
 6	 0	1
 7	 0	0
 8	 0	1
 9	 0	0
 0	 1	2
 1	 1	2
 2	 1	3
 3	 1	2
 4	 1	6
 5	 1	0
 6	 1	3
 7	 1	0
 8	 1	0
 9	 1	0
 0	 2	3
 1	 2	3
 2	 2	2
 3	 2	1
 4	 2	1
 5	 2	0
 6	 2	5
 7	 2	2
 8	 2	3
 9	 2	1
 0	 3	2
 1	 3	2
 2	 3	3
 3	 3	2
 4	 3	3
 5	 3	0
 6	 3	4
 7	 3	3
 8	 3	1
 9	 3	1
 0	 4	0
 1	 4	1
 2	 4	1
 3	 4	2
 4	 4	3
 5	 4	3
 6	 4	3
 7	 4	2
 8	 4	3
 9	 4	2
 0	 5	3
 1	 5	2
 2	 5	3
 3	 5	3
 4	 5	2
 5	 5	3
 6	 5	3
 7	 5	1
 8	 5	1
 9	 5	1
 0	 6	4
 1	 6	1
 2	 6	2
 3	 6	3
 4	 6	4
 5	 6	3
 6	 6	1
 7	 6	3
 8	 6	1
 9	 6	1
 0	 7	1
 1	 7	4
 2	 7	4
 3	 7	3
 4	 7	1
 5	 7	4
 6	 7	3
 7	 7	2
 8	 7	2
 9	 7	2
 0	 8	3
 1	 8	1
 2	 8	3
 3	 8	6
 4	 8	0
 5	 8	3
 6	 8	1
 7	 8	1
 8	 8	8
 9	 8	1
 0	 9	0
 1	 9	2
 2	 9	3
 3	 9	3
 4	 9	6
 5	 9	5
 6	 9	4
 7	 9	3
 8	 9	2
 9	 9	2
