0.298667	0.314539	0.980070	1.078803	0
0.562224	0.579310	0.924799	1.023329	0
0.638282	0.635125	0.728359	0.828309	0
0.187294	0.171893	0.064285	0.163092	1
0.299239	0.310026	0.721236	0.820653	0
0.448885	0.463034	0.259201	0.358195	1
0.748697	0.758412	0.503729	0.603256	0
0.894766	0.877802	0.478080	0.576630	0
0.821044	0.823742	0.570201	0.670165	0
0.004954	-0.012344	0.006183	0.104676	1
0.390541	0.407288	0.304851	0.403438	0
0.347180	0.361333	0.867074	0.966068	0
0.339071	0.343789	0.505356	0.605245	0
0.748611	0.755568	0.692651	0.792408	0
0.805640	0.802872	0.991890	1.091851	0
0.615281	0.621556	0.440774	0.540577	0
0.521982	0.510961	0.189471	0.288862	1
0.300757	0.306399	0.084237	0.184077	1
0.312426	0.303082	0.905280	1.004843	0
0.889737	0.880608	0.910234	1.009816	0
0.891695	0.893194	0.300775	0.400764	0
0.873722	0.870582	0.647955	0.747905	1
0.780549	0.794998	0.987026	1.085977	0
0.415735	0.419505	0.735637	0.835566	0
0.115207	0.118694	0.541277	0.641216	0
0.535915	0.519951	0.156557	0.255275	1
0.215824	0.206419	0.678539	0.778096	0
0.399462	0.392988	0.979296	1.079086	0
0.061180	0.051411	0.291722	0.391244	1
0.293100	0.280217	0.181460	0.280627	1
0.531202	0.528783	0.073155	0.173125	1
0.074155	0.059500	0.946877	1.045797	0
0.484183	0.469080	0.727425	0.826278	0
0.399567	0.410065	0.143160	0.242608	1
0.007601	0.002109	0.258367	0.358216	1
0.607525	0.607495	0.794282	0.894282	0
0.648223	0.636996	0.010105	0.109473	1
0.878392	0.866447	0.409567	0.508851	1
0.192799	0.191008	0.470748	0.570732	0
0.412485	0.417027	0.763847	0.863744	0
0.542405	0.549497	0.295049	0.394798	1
0.973101	0.978341	0.369205	0.469067	0
0.051751	0.047481	0.853388	0.953296	0
0.117428	0.118153	0.252954	0.352951	1
0.918741	0.928470	0.260555	0.360081	1
0.261331	0.263894	0.868080	0.968047	0
0.760479	0.763394	0.516303	0.616260	0
0.938166	0.955294	0.394695	0.493217	0
0.095149	0.093887	0.587494	0.687486	0
0.543854	0.534363	0.999978	1.099527	0
0.174020	0.174814	0.542384	0.642381	0
0.877340	0.890979	0.515485	0.614550	0
0.527536	0.536090	0.567236	0.666870	0
0.905158	0.922464	0.684664	0.783155	0
0.425940	0.417532	0.603405	0.703051	0
0.205089	0.192103	0.864736	0.963890	0
0.778520	0.783518	0.625215	0.725090	0
0.362056	0.345996	0.563381	0.662083	0
0.355159	0.359536	0.658530	0.758434	0
